	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	pop	super_pop
HG02774	-24.497870394797403	13.413147029928895	29.873897663863644	9.142898162081098	-12.202261497101395	-0.36072485300032786	3.2751327600366804	-0.3370741685128415	-1.2464408793540287	-5.719758535150912	PJL	SAS
HG02181	-36.61419072118704	-55.87284162182698	-3.3602394869427794	-11.99592204283017	7.627992038312297	-1.451248928881531	18.922096161200425	-2.524313335096207	-0.87150592120847	0.8810712749799795	CDX	EAS
HG03054	86.84763151958711	-12.04226555716095	-2.10892690903117	0.631938184277129	13.360416289254976	14.909790536235958	3.8079302004137117	0.11818155471478922	-3.151573972881549	3.320738941192136	MSL	AFR
HG01596	-38.650749100342	-41.93403150766575	2.118207761882963	-15.683283097407879	-5.486598734711285	5.840211008781953	14.216413927651965	1.4197318596381523	-6.4320394077880065	2.6939263405200258	KHV	EAS
HG02501	58.703599093018944	2.127206171852746	0.10958591269745446	-1.054050953600544	0.3620672600923452	-3.437069402419784	2.014060342623488	6.46844714873706	1.9701984832025985	2.575872662548861	ACB	AFR
HG03511	89.0105553427287	-9.363669544623518	2.3880471626141864	3.0382381219419403	-6.692322620228386	-6.88713757298819	-5.638015912439816	12.780822225631688	-3.903302667595126	0.7219925451636217	ESN	AFR
HG00864	-39.25474789381319	-51.061157322188414	-0.8081899241393602	-13.220694884280498	-4.683706814419622	1.0173418532293268	14.306385762574795	-1.365007728381394	6.857305516198878	2.062956111900333	CDX	EAS
NA19114	84.99605790827133	-7.719806344788179	-0.6451373742067448	-0.8121857102981933	-2.9813903411893414	-2.8754047725717635	-0.18071025118497333	10.766014708613655	6.366909915085519	1.6190466690852319	YRI	AFR
HG04211	-21.186304114467692	13.819523468165835	29.53162455730277	10.656964710780123	6.003794313734436	2.3915169456687684	-7.338601588030332	7.855100818858379	-4.890482840537548	3.610366032413099	ITU	SAS
HG01110	-16.406775174389757	28.6660254510011	-10.43727285311262	-3.641324537549615	11.060866180001366	-0.8850821230452907	2.0966587974214272	0.07675037125516881	-2.0484952564329433	-13.833876122426089	PUR	AMR
HG03863	-26.241276787097142	12.278697857071856	31.711867665716365	12.358013647389406	3.8669809179211416	-0.4540629360324822	-3.863031029788597	-2.812457287468746	-0.3443923742589175	8.918013111914616	ITU	SAS
HG02461	84.361126084676	-1.6793842457837145	-2.0265727737582475	-1.0952213312321628	-11.609658182505118	23.41337196865119	-0.6401950769969373	-6.094851856809794	2.9500761173733028	-3.029970849765697	GWD	AFR
HG02035	-39.160073477155116	-46.584431381554346	1.8749716256347762	-12.472954296991631	9.948953707269222	1.6318409209160283	10.297363968009556	-3.127001028226899	13.088344395155943	4.290192559876368	KHV	EAS
HG00693	-41.53065524519607	-52.46095836114382	-2.6344109013656483	-8.060189204881647	9.427407548323254	1.7813416756287894	10.319391208699798	-2.1702903350574116	0.23265117159019255	9.318253742077436	CHS	EAS
HG03968	-28.02204564519278	10.567427376224735	31.56414037207249	8.353315806328599	8.623173500379304	-0.3926661496316778	-0.36218054718276155	-4.871365175432219	-0.8410009911682902	4.922308051845716	ITU	SAS
HG03598	-30.72635211667117	1.036300781831268	22.374368294940883	-0.3585539299607423	12.302362296591676	1.7656895303647517	-1.162155578799924	3.3787936417217943	2.0854475426703134	-8.771871551085416	BEB	SAS
HG01080	-10.535256809680929	23.26445371684503	-16.758243684913307	-0.5736814595595267	13.445780077538002	-2.2899340344984416	8.696128371857938	-6.100474591055919	4.641453318317447	6.828347208680194	PUR	AMR
HG03991	-26.383630628315146	15.149889320993326	32.486246710771766	11.634449038458973	-13.702649641532396	0.7757921861092993	2.0702164344063787	-0.808753933073188	1.311296448938307	-1.449917896657372	STU	SAS
NA19741	-33.04114694086835	-17.872444519976096	-29.254602836879812	50.142966994651424	-1.611034491169369	-1.7974722521725974	-6.218192069260794	-1.20139466082682	-1.472365142716207	6.485739778864727	MXL	AMR
NA19153	88.65799928064845	-6.228705727027507	0.570044038578755	0.9348532496365729	-9.776550642580988	-1.1314704626711138	2.047291288926371	11.617055189472813	6.275631956679478	6.15536424748465	YRI	AFR
HG01812	-35.80999825502031	-51.49527066772614	-0.653478874079297	-10.838469479198194	-2.7163878071694705	1.5773207120012336	16.285424137890292	0.8745345695619696	3.4818327270716565	2.3678704004121505	CDX	EAS
HG02304	-32.29877046490069	-16.783100107934857	-32.34829055802897	60.33082265036971	-2.351179772332988	8.793106440783959	5.496891147709665	8.247738460094034	-2.469618725561112	-5.257972918053419	PEL	AMR
