sample_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,pop,super_pop
NA19445,52.697392726779036,-5.629994062567815,-0.43433162934268105,0.21485760712634785,-0.7513265509456207,-3.9186504234541513,3.4194371536153456,-3.867886765765966,-2.2679968932880534,-2.269205030923518,4.2803315649281375,18.733852316181448,6.707966194504294,-6.069295711735865,-5.013168666890464,1.2651897692283627,-2.5489857463996053,-9.220266049587545,-1.5769957522150004,2.998590739983627,LWK,AFR
HG01978,-26.37913770091822,-9.388838116003539,33.46427357429855,32.97416793929877,9.949807120551545,2.9331514351957773,0.9298829978914701,-0.2900554584391154,0.2265939052432307,-2.4557245119369453,-3.1036109317889093,1.3195221777402368,5.972072947344086,2.507878542848787,-1.2845397929625577,0.30641624100499026,-8.51675207985292,-0.8215331889156638,0.6077427344376191,2.645617976234044,PEL,AMR
HG01200,-15.169156640286625,17.43135493935483,6.338102254485439,-9.65663318635176,-6.958786308453723,-0.1060150441991038,7.969315844273187,-2.966885316365417,-8.105203504716325,6.320314942758387,5.552175328596151,-2.7960419703980883,-1.0450616801348283,0.7408639027090054,8.852116564231611,-1.1357763373948253,-1.8744197287106898,-5.9902065599422905,0.3619831104180942,2.982440142129729,PUR,AMR
HG01126,-12.807178034504147,12.727734762313846,11.156410275058283,8.444645375184544,-12.458236499500783,-0.29287655294097714,-0.03952383505939898,-1.5768889892152353,-5.1880789213528224,1.2831555801886032,8.13762767176113,1.9388423283813994,-5.077830761231349,-1.0821121499832025,13.01764282918133,-2.2197381718552407,-1.5596402650720547,1.15179691107158,-4.677457088740404,0.24968711735741542,CLM,AMR
NA20532,-18.12944705698115,26.969315156526537,4.301656217303324,-10.229339165468494,-5.553356201792841,-2.227480748028887,-10.980198697097617,1.0659065862711237,0.33854810274908514,0.9896931792437058,3.4961277363156,-2.881983245789144,-2.118066099312053,-0.5315198582071555,6.121063007285616,3.814503241715857,2.515075450031436,-5.94542113245715,-1.1149390199424662,-1.941934692548642,TSI,EUR
HG01086,-8.146088799870734,19.41247764944676,8.522166068709714,-2.370377484380443,5.569995495936747,6.745539929633683,1.020872457600172,3.761410977350166,-4.010972450020511,3.1086703763220163,6.284802084341911,0.30648535282095646,-0.98222510237518,5.867445412907852,-1.1253287253091617,7.370773826860257,-3.1913057043070365,-3.296206452654349,-11.26555467830525,-2.1811385872703584,PUR,AMR
NA18934,57.44123249130587,-4.565808095462038,0.6595073170832024,-0.0547918589402372,3.681280438420702,0.40231201660126265,4.826151775501776,6.714225697239294,-5.556768974994721,4.672757998097863,-2.55005915347865,-0.9819208776436406,-4.861954039964947,-0.9534129919419018,-0.039915398894370104,0.03282267209377162,0.20808198440504933,6.646120765877245,0.8502147533557838,-3.3637742027257436,YRI,AFR
HG03595,-21.20918445769606,5.005958430921978,-19.190106287242227,13.006780289788349,-11.536134264677527,1.1591597728881504,-1.0361425938399733,0.5305549295886407,-0.6939653854076527,2.4057165131084672,-6.722178444183263,1.11093244284146,1.358291605530526,-4.5988079283956305,-5.329873838845737,-0.45331787356943076,-0.8465613489331061,3.3759844508146704,-5.123485554850977,-2.7603976171426754,BEB,SAS
HG02078,-28.31356787047546,-38.90340857154848,-1.3429101736266171,-6.699152776454722,-3.843733110549263,-0.5029146261527294,-8.732619807079585,9.6598652962706,-0.7735482794202715,-1.9004003255643211,1.514182998337885,4.239258611074307,-5.57887898486257,0.8903711981590874,-7.126034311043924,3.7110414959389284,0.9893725171929258,0.896090731525336,1.9684638570063864,2.1642323249502957,KHV,EAS
NA19307,56.16527343076886,-3.4037602441319317,0.06960238783314122,-0.7617907191717498,-8.283716110310198,-7.035811630583142,-8.289230147660804,-7.188587846297949,-5.263096929688162,4.760245494310184,-0.3601150269982658,11.224028904475233,3.332645882121727,-8.992510326469736,-12.317130189846797,0.10971103463234012,0.36358157381802203,-5.218660494365978,-1.720855284786649,3.0718859108619885,LWK,AFR
